cfrid,lat,lon,cfr,distance_to_road,distance_to_city_km,city,dist_to_sr,dist_to_kt,dist_to_pur,dist_to_bat
1,12.847785,103.36685,Ang Chork,2,,,205,389,83,38
2,12.713465,103.42855,Anlous Dong,7,,,221,362,72.2,54.8
3,13.182701,103.02815,Aren,1,,,159,343,147,27.3
4,12.967658,103.37451,Bakong,n/a,24,Kampong Thom,194,379,96.1,27.9
5,13.183199,103.27579,Boeng Chheutrav,27,,,171,355,127,16.1
6,13.045165,103.34124,Boeng Daiphtaul,,24,,188,372,108,21.2
7,13.145815,103.1199,Boeng Kamhengsa,n/a,2,Siem Reap,151,335,130,13.4
8,12.480811,104.14249,Boeng Kampeng,17,,,304,196,41.9,137
9,12.456036,104.24107,Boeng Kantout,1,,,314,181,52,147
10,12.339437,103.7798,Boeng Krong,3.5,,,302,330,20,126
11,12.600104,103.69793,Boeng Prahauch,,46,Kampong Thom,253,330,40.2,86.7
12,12.557189,103.83994,Boeng Prang,4,,,264,311,21.6,97.5
13,12.531845,104.08231,Boeng Preah,30,,,291,148,28.9,124
14,12.682003,103.87697,Boeng Rolum,,46,Kampong Thom,273,236,33,107
15,12.649499,103.79442,Boeng Romlech,6,,,261,237,33.7,94.4
16,12.402806,103.80454,Boeng Thea,3,16,Kampong Thom,293,185,11.9,127
17,12.391315,103.72208,Boeng Thmor,3,60,Siem Reap,281,247,31,112
18,13.295489,104.37721,Boeng Tramper,13,,,85.7,148,365,249
19,13.22489,104.36575,Boeng Tramses,5,,,77,139,356,240
20,13.396586,104.0755,Damnak Kranh,10,30,Pursat,28,174,308,200
21,13.549034,103.51598,Entark Komar,,12,Kampong Thom,42.3,227,237,121
22,13.534105,103.55344,Kork Lhong,0.5,12,Siem Reap,40,225,248,128
23,13.360538,104.07626,Krasaing Rithy,700m,35,Kampong Thom,31.2,168,306,195
24,13.07634,104.35537,Kuch Noub,8,45,Pursat,69.3,120,349,233
25,13.550259,103.45602,Lboeuk Keteyuos,,37,Siem Reap,50,235,233,117
26,13.553934,103.46719,Obosmkak,2,20,Kampong Thom,48.5,233,235,119
27,13.233874,104.07924,Otaky,0.5,,,33.5,160,313,197
28,13.620031,103.40361,Otamoan,4,57,Siem Reap,57.7,242,230,114
29,13.567118,103.42121,Othom Sranal,1.5,54,Siem Reap,55.3,240,228,112
30,12.803261,104.87608,Preah Neang Korl,1.5,42,Kampong Thom,141,12.6,316,304
31,12.828116,104.657,Pur Sdey,5,41,Siem Reap,114,37.3,338,277
32,12.89663,104.61422,Sla Slak,10,,,105,47,348,268
33,12.777232,104.9454,Trapaing Kuy,5,33,Siem Reap,148,12.7,314,312
34,12.798703,104.77268,Trapaing Neang Noy,900m,40,Kampong Thom,126,23.2,324,289
35,12.729748,104.83909,Trapaing Thlok Meanchey,2,72,Kampong Thom,142,8.9,308,305
36,12.874097,104.60919,Trapaing Thlong,13,25,Siem Reap,106,42.5,346,269
37,13.024595,104.48992,Trapaing Veng,4,69,Siem Reap,94,73,374,257
38,12.801675,104.8466,Tumnub Kandole,35,95,Siem Reap,135,16.2,317,299
39,12.822843,105.09008,Tumnub Mkak,12,,,182,42.1,309,345
40,12.88967,105.11397,Tumnub Rumdeng,15,,,177,39.7,343,341
