hhid,cfrid,biom_species,catch_species,c_hat_base,c_hat_effort,c_hat_hh,c_hat_mkt,c_hat_mktx
1,1,59,18,25.948269,33.679493,33.859745,33.608631,33.647957
2,1,59,20,25.948269,31.205917,30.906265,31.041796,31.096075
4,1,59,12,25.948269,27.210144,24.143064,24.488354,24.642765
5,1,59,23,25.948269,20.931072,20.043159,20.218784,20.452736
7,1,59,32,25.948269,42.432137,41.133213,41.01083,41.119846
8,1,59,23,25.948269,27.78097,28.230145,27.892403,27.91799
9,1,59,21,25.948269,43.193237,42.591499,42.045067,42.077763
10,1,59,20,25.948269,24.35602,22.345724,22.467737,22.601698
12,1,59,15,25.948269,26.068495,24.876183,25.246897,25.334795
13,1,59,11,25.948269,21.501896,22.930527,22.855106,22.979473
14,1,59,10,25.948269,25.497669,25.621151,25.598433,25.622671
16,1,59,10,25.948269,18.647774,18.809242,19.235254,19.462049
19,2,43,14,20.404213,13.876744,13.042016,14.609126,14.503057
20,2,43,27,20.404213,20.155817,17.744026,20.239799,20.108011
21,2,43,13,20.404213,16.350317,15.319421,17.395227,17.357447
22,2,43,22,20.404213,21.297466,21.106264,22.749872,22.568502
23,2,43,18,20.404213,18.633617,16.531689,18.865429,18.688772
24,2,43,26,20.404213,23.39049,22.193539,23.849199,23.776711
25,2,43,22,20.404213,25.673788,27.182394,28.3433,28.17227
26,2,43,22,20.404213,13.30592,19.113199,20.165802,19.984159
28,2,43,17,20.404213,22.439116,21.363276,22.878256,22.819202
30,2,43,17,20.404213,14.828118,14.651252,16.268024,16.154133
31,2,43,18,20.404213,18.633617,19.894028,21.259201,21.10638
33,32,40,14,19.364704,25.100309,26.861431,26.800261,26.610844
34,32,40,23,19.364704,17.108763,17.901583,18.724346,18.597036
37,32,40,10,19.364704,12.351891,11.362717,11.975866,11.911538
38,32,40,14,19.364704,22.246185,23.067957,23.43289,23.339323
39,32,40,6,19.364704,10.829691,9.9637527,10.855837,10.872695
40,32,40,14,19.364704,20.153162,18.525545,20.003294,19.942457
41,32,40,13,19.364704,34.423782,36.991081,37.012821,36.776993
43,32,40,6,19.364704,14.25464,15.312042,15.875844,15.861635
44,32,40,9,19.364704,10.258866,7.9369917,8.7726097,8.9093189
45,32,40,12,19.364704,11.781066,12.602447,13.61429,13.587006
46,32,40,9,19.364704,14.444915,17.608772,17.955738,17.86236
47,32,40,12,19.364704,19.011513,15.82375,17.455744,17.486649
48,32,40,9,19.364704,18.060139,16.615578,17.328316,17.277523
49,10,28,18,15.206663,19.761995,19.6905,17.347166,17.869869
50,10,28,12,15.206663,21.09392,19.698883,17.383533,18.004124
51,10,28,13,15.206663,25.660517,22.552675,20.770197,21.206423
53,10,28,8,15.206663,10.057974,9.0496321,6.8064489,7.5354204
54,10,28,3,15.206663,3.3983521,1.0741004,-.46701163,.19176407
55,10,28,16,15.206663,26.992441,23.385077,21.267363,21.706512
56,10,28,15,15.206663,19.000895,19.034641,16.408363,16.945536
58,10,28,14,15.206663,12.531549,13.241848,11.030596,11.577516
61,10,28,17,15.206663,19.000895,16.425388,14.715551,15.215621
62,10,28,17,15.206663,22.235569,21.879034,19.804649,20.323389
64,10,28,11,15.206663,18.239796,15.22995,13.231812,13.798756
67,6,59,38,25.948269,43.383511,46.570732,44.213535,43.855572
68,6,59,5,25.948269,19.789423,21.089319,19.830683,19.72489
69,6,59,23,25.948269,27.971245,27.884144,26.070152,25.831583
70,6,59,18,25.948269,31.396193,31.94702,30.027187,29.803881
71,6,59,31,25.948269,30.635094,29.17137,28.26169,28.097847
72,6,59,18,25.948269,22.262997,24.227942,22.461109,22.294912
73,6,59,13,25.948269,20.740797,25.572559,23.499979,23.257647
74,6,59,24,25.948269,31.776743,29.91711,28.990196,28.873037
75,6,59,14,25.948269,23.024096,24.215481,22.925903,22.786856
79,6,59,10,25.948269,24.73657,26.268423,24.334597,24.16733
83,12,35,12,17.632187,18.055714,16.290352,14.920659,15.343706
84,12,35,12,17.632187,15.772415,16.460653,15.035193,15.393853
85,12,35,9,17.632187,11.015542,10.744893,9.4746761,9.834115
86,12,35,4,17.632187,13.298841,10.535982,9.1837626,9.6058731
87,12,35,9,17.632187,13.679391,12.677188,11.017929,11.439202
88,12,35,7,17.632187,17.48489,16.93767,14.867363,15.188763
89,12,35,7,17.632187,10.634993,8.1754818,6.6312523,7.0864487
93,12,35,14,17.632187,18.816814,16.053026,14.232151,14.712372
94,12,35,9,17.632187,16.152966,17.135479,15.237064,15.580491
96,12,35,7,17.632187,13.869666,14.280732,12.527478,12.911581
