group,code,name
1,1,"Mystus albolineatus"
1,2,"Mystus singaringan"
1,3,"Mystus multiradiatus"
1,4,"Mystus mysticetus"
1,5,"Mystus atrifasciatus"
1,6,"Mystus gulio"
1,7,"Mystus bocourti"
2,8,"Hemibagrus spilopterus/nemurus"
3,9,"Anematichthys/Cyclocheilichthys apogon"
3,10,"Anematichthys repasson"
3,11,"Anematichthys/Cyclocheilichthys armatus"
3,12,"Cyclocheilichthys lagleri"
4,13,"Hypsibarbus lagleri"
4,14,"Hypsibarbus malcolmi"
4,15,"Barbonymus gonionotus"
5,16,"Puntius brevis"
5,17,"Puntius sp. (cf. masyai)"
5,18,"Puntius aurotaeniatus"
5,19,"Puntius rhombeus"
6,20,"Labiobarbus siamensis"
6,21,"Labiobarbus leptocheilus"
8,22,"Henicorhynchus siamensis"
8,23,"Henicorhynchus lobatus"
9,24,"Esomus metallicus"
9,25,"Esomus longimanus"
9,26,"Danio albolineatus"
9,27,"Amblypharyngodon chulabhornae"
9,28,"Rasbora daniconius"
9,29,"Rasbora aurotaenia"
9,30,"Rasbora pauciperforata/Trigonopoma pauciperforatum"
9,31,"Rasbora myersi/dusonensis"
9,32,"Rasbora borapetensis"
9,33,"Rasbora tornieri"
9,34,"Rasbora paviana"
10,36,"Clupeoides borneensis"
11,37,"Puntioplites proctozystron"
12,38,"Anabas testudineus"
11,39,"Puntioplites falcifer"
13,40,"Clarias batrachus"
13,41,"Clarias macrocephalus"
13,42,"Clarias meladerma"
14,43,"Channa striata"
15,44,"Datnioides undecimradiatus"
15,45,"Nandus nandus"
15,46,"Nandus oxyrhynchus"
15,47,"Pristolepis fasciata"
16,48,"Parambassis apogonoides"
16,49,"Parambassis wolffii"
16,50,"Parambassis siamensis"
17,51,"Trichopodus pectoralis"
17,52,"Trichogaster microlepis"
17,53,"Trichopodus trichopterus"
8,54,"Lobocheilos rhabdoura"
9,55,"Lobocheilos melanotaenia"
18,56,"Trichopsis schalleri"
18,57,"Trichopsis pumila"
18,58,"Trichopsis vittata"
19,59,"Notopterus notopterus"
19,60,"Chitala blanci"
19,61,"Chitala ornata"
20,62,"Cosmochilus harmandi"
21,63,"Xenentodon cancila"
22,64,"Micronema hexapterus"
22,65,"Kryptopterus dissitus"
22,66,"Kryptopterus cheveyi"
23,67,"Ompok bimaculatus/Hemisilurus mekongensis"
25,68,"Macrognathus siamensis"
25,69,"Macrognathus semiocellatus"
26,70,"Mastacembelus armatus"
26,71,"Mastacembelus favus"
27,72,"Acantopsis sp. ""large spot"""
27,73,"Acantopsis thiemmedhi"
27,74,"Acantopsis sp. ""stripe"""
27,75,"Acanthopsoides/Acantopsis spp"
28,76,"Monopterus albus"
29,78,"Oxyeleotris marmorata"
30,79,"Hampala macrolepidota"
31,80,"Pangio fusca"
32,81,"Yasuhikotakia morleti"
32,82,"Yasuhikotakia lecontei"
32,83,"Syncrossus beauforti"
32,84,"Syncrossus helodes"
32,85,"Yasuhikotakia modesta"
33,86,"Pangasianodon hypophthalmus"
34,99,"Puntius orphoides"
4,100,"Hypsibarbus vernayi"
34,101,"Poropuntius normani"
34,102,"Osteochilus vittatus/lini/hasselti"
35,103,"Systomus partipentazona"
36,104,"Labeo chrysophekadion"
37,105,"Osteochilus melanopleurus"
10,106,"Corica laciniata"
38,107,"Oxygaster pointoni"
38,108,"Paralaubuca typus"
39,109,"Luciosoma bleekeri"
24,110,"Ompok hypophthalmus/urbaini"
40,111,"Channa micropeltes"
41,112,"Oreochromis niloticus"
42,113,"Hypophthalmichthys molitrix"
42,114,"Cyprinus carpio carpio"
10,126,"Clupeichthys aesarnensis"
10,127,"Clupeichthys goniognathus"
7,128,"Thynnichthys thynnoides"
0,129,"Toxotes microlepis"
22,130,"Kryptopterus cryptopterus"
43,131,"Tetraodon cambodgiensis"
43,132,"Tetraodon biocellatus"
43,133,"Tetraodon fluviatilis"
49,134,"Phalacronotus bleekeri"
49,136,"Phalacronotus apogon"
43,137,"Monotrete cochinchinensis"
9,138,"Rasbora caudimaculata"
1,139,"Leiocassis/Pseudomystus siamensis"
1,140,"Mystus wolffi"
45,141,"Barbonymus schwanenfeldii"
45,142,"Barbonymus altus"
18,143,"Betta prima"
46,144,"Bagarius yarrelli"
34,146,"Osteochilus waandersii"
34,147,"Osteochilus microcephalus"
47,148,"Doryichthys boaja"
48,149,"Wallago attu"
4,150,"Hypsibarbus wetmorei"
2,151,"Hemibagrus wyckii"
27,152,"Tuberoschistura cambodgiensis"
27,153,"Acantopsis sp. ""cheek spot"""
27,154,"Acantopsis sp. ""Phanara"""
0,155,"Epalzeorhynchos munense"
0,156,"Crossocheilus reticulatus"
0,158,"Yasuhikotakia caudipunctata"
61,159,"Cyclocheilichthys enoplos"
62,162,"Cirrhinus cirrhosus"
0,163,"Pangasius pleurotaenia"
64,164,"Channa gachua"
58,169,"Leptobarbus hoeveni"
0,170,"Gyrinocheilus pennocki"
0,172,"Hampala dispar"
