cfrid,year,month,scode_biom,sgroup_biom,sname_biom,totalweight_biom,timekey1,timekey2,timekey3
"1. Ang Chork",2012,11,1,1,"Mystus albolineatus",6,1,1,1
"1. Ang Chork",2012,11,4,1,"Mystus mysticetus",270,1,1,1
"1. Ang Chork",2012,11,7,1,"Mystus bocourti",134,1,1,1
"1. Ang Chork",2012,11,8,2,"Hemibagrus spilopterus/nemurus",135,1,1,1
"1. Ang Chork",2012,11,10,3,"Anematichthys repasson",67,1,1,1
"1. Ang Chork",2012,11,12,3,"Cyclocheilichthys lagleri",186,1,1,1
"1. Ang Chork",2012,11,16,5,"Puntius brevis",75,1,1,1
"1. Ang Chork",2012,11,17,5,"Puntius sp. (cf. masyai)",518,1,1,1
"1. Ang Chork",2012,11,21,6,"Labiobarbus leptocheilus",471,1,1,1
"1. Ang Chork",2012,11,22,8,"Henicorhynchus siamensis",5,1,1,1
"1. Ang Chork",2012,11,23,8,"Henicorhynchus lobatus",5,1,1,1
"1. Ang Chork",2012,11,24,9,"Esomus metallicus",14,1,1,1
"1. Ang Chork",2012,11,25,9,"Esomus longimanus",13,1,1,1
"1. Ang Chork",2012,11,27,9,"Amblypharyngodon chulabhornae",23,1,1,1
"1. Ang Chork",2012,11,47,15,"Pristolepis fasciata",11,1,1,1
"1. Ang Chork",2012,11,50,16,"Parambassis siamensis",155,1,1,1
"1. Ang Chork",2012,11,52,17,"Trichogaster microlepis",15,1,1,1
"1. Ang Chork",2012,11,63,21,"Xenentodon cancila",163,1,1,1
"1. Ang Chork",2012,11,65,22,"Kryptopterus dissitus",6,1,1,1
"1. Ang Chork",2012,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",133,1,1,1
"1. Ang Chork",2012,11,68,25,"Macrognathus siamensis",108,1,1,1
"1. Ang Chork",2012,11,69,25,"Macrognathus semiocellatus",6,1,1,1
"1. Ang Chork",2012,11,72,27,"Acantopsis sp. ""large spot""",11,1,1,1
"1. Ang Chork",2012,11,75,27,"Acanthopsoides/Acantopsis spp",60,1,1,1
"1. Ang Chork",2012,11,76,28,"Monopterus albus",381,1,1,1
"1. Ang Chork",2012,11,84,32,"Syncrossus helodes",0,1,1,1
"1. Ang Chork",2012,11,85,32,"Yasuhikotakia modesta",6,1,1,1
"1. Ang Chork",2012,11,102,34,"Osteochilus vittatus/lini/hasselti",35,1,1,1
"1. Ang Chork",2013,2,1,1,"Mystus albolineatus",23.7,2,2,
"1. Ang Chork",2013,2,4,1,"Mystus mysticetus",151.2,2,2,
"1. Ang Chork",2013,2,8,2,"Hemibagrus spilopterus/nemurus",56.5,2,2,
"1. Ang Chork",2013,2,12,3,"Cyclocheilichthys lagleri",122,2,2,
"1. Ang Chork",2013,2,17,5,"Puntius sp. (cf. masyai)",803,2,2,
"1. Ang Chork",2013,2,21,6,"Labiobarbus leptocheilus",72.80000000000001,2,2,
"1. Ang Chork",2013,2,38,12,"Anabas testudineus",75.80000000000001,2,2,
"1. Ang Chork",2013,2,43,14,"Channa striata",16.4,2,2,
"1. Ang Chork",2013,2,47,15,"Pristolepis fasciata",6,2,2,
"1. Ang Chork",2013,2,49,16,"Parambassis wolffii",188.9,2,2,
"1. Ang Chork",2013,2,52,17,"Trichogaster microlepis",24.7,2,2,
"1. Ang Chork",2013,2,59,19,"Notopterus notopterus",346.6,2,2,
"1. Ang Chork",2013,2,63,21,"Xenentodon cancila",92.40000000000001,2,2,
"1. Ang Chork",2013,2,64,22,"Micronema hexapterus",120.4,2,2,
"1. Ang Chork",2013,2,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",104.1,2,2,
"1. Ang Chork",2013,2,69,25,"Macrognathus semiocellatus",13.5,2,2,
"1. Ang Chork",2013,2,128,7,"Thynnichthys thynnoides",157.9,2,2,
"1. Ang Chork",2013,2,150,4,"Hypsibarbus wetmorei",84.3,2,2,
"1. Ang Chork",2013,5,1,1,"Mystus albolineatus",11.7,3,3,2
"1. Ang Chork",2013,5,6,1,"Mystus gulio",71.80000000000001,3,3,2
"1. Ang Chork",2013,5,8,2,"Hemibagrus spilopterus/nemurus",62.9,3,3,2
"1. Ang Chork",2013,5,12,3,"Cyclocheilichthys lagleri",228.5,3,3,2
"1. Ang Chork",2013,5,16,5,"Puntius brevis",964,3,3,2
"1. Ang Chork",2013,5,21,6,"Labiobarbus leptocheilus",38.6,3,3,2
"1. Ang Chork",2013,5,49,16,"Parambassis wolffii",123,3,3,2
"1. Ang Chork",2013,5,52,17,"Trichogaster microlepis",9.300000000000001,3,3,2
"1. Ang Chork",2013,5,63,21,"Xenentodon cancila",19.6,3,3,2
"1. Ang Chork",2013,5,64,22,"Micronema hexapterus",7.9,3,3,2
"1. Ang Chork",2013,5,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",14.7,3,3,2
"1. Ang Chork",2013,5,68,25,"Macrognathus siamensis",4.9,3,3,2
"1. Ang Chork",2013,5,74,27,"Acantopsis sp. ""stripe""",8.399999999999999,3,3,2
"1. Ang Chork",2013,5,108,38,"Paralaubuca typus",1.1,3,3,2
