"","cfrid","hhid"
"1",1,1
"2",1,2
"3",1,4
"4",1,5
"5",1,7
"6",1,8
"7",1,9
"8",1,10
"9",1,12
"10",1,13
"11",1,14
"12",1,16
"13",2,19
"14",2,20
"15",2,21
"16",2,22
"17",2,23
"18",2,24
"19",2,25
"20",2,26
"21",2,28
"22",2,30
"23",2,31
"24",32,33
"25",32,34
"26",32,37
"27",32,38
"28",32,39
"29",32,40
"30",32,41
"31",32,43
"32",32,44
"33",32,45
"34",32,46
"35",32,47
"36",32,48
"37",10,49
"38",10,50
"39",10,51
"40",10,53
"41",10,54
"42",10,55
"43",10,56
"44",10,58
"45",10,61
"46",10,62
"47",10,64
"48",6,67
"49",6,68
"50",6,69
"51",6,70
"52",6,71
"53",6,72
"54",6,73
"55",6,74
"56",6,75
"57",6,79
"58",12,83
"59",12,84
"60",12,85
"61",12,86
"62",12,87
"63",12,88
"64",12,89
"65",12,93
"66",12,94
"67",12,96
"68",27,97
"69",27,98
"70",27,99
"71",27,101
"72",27,102
"73",27,103
"74",27,106
"75",27,107
"76",27,109
"77",27,110
"78",20,113
"79",20,115
"80",20,116
"81",20,117
"82",20,118
"83",20,119
"84",20,120
"85",20,121
"86",20,122
"87",20,123
"88",20,126
"89",24,129
"90",24,131
"91",24,132
"92",24,133
"93",24,135
"94",24,136
"95",24,137
"96",24,138
"97",24,139
"98",24,141
"99",24,143
"100",5,145
"101",5,147
"102",5,150
"103",5,151
"104",5,155
"105",5,156
"106",5,157
"107",5,158
"108",5,159
"109",5,160
"110",15,161
"111",15,162
"112",15,163
"113",15,165
"114",15,166
"115",15,169
"116",15,170
"117",15,173
"118",15,174
"119",15,176
"120",3,179
"121",3,180
"122",3,181
"123",3,182
"124",3,183
"125",3,184
"126",3,185
"127",3,188
"128",3,190
"129",3,192
"130",9,193
"131",9,194
"132",9,195
"133",9,196
"134",9,197
"135",9,199
"136",9,202
"137",9,203
"138",9,205
"139",9,207
"140",18,209
"141",18,210
"142",18,211
