"","type","commonness","hhid","cfrid"
"1","sold",1.88318517135513e-08,2,1
"2","sold",6.52545491768034e-08,5,1
"3","sold",6.29007963657982e-07,7,1
"4","sold",9.2278792495738e-07,8,1
"5","sold",4.74874020747408e-06,9,1
"6","sold",7.32272383626355e-07,12,1
"7","sold",6.33939334271238e-08,14,1
"8","sold",9.79105955641188e-08,19,2
"9","sold",9.41592811659785e-09,20,2
"10","sold",7.24059813505704e-07,22,2
"11","sold",5.93158968402062e-08,24,2
"12","sold",1.3727937359792e-07,25,2
"13","sold",9.75143891910194e-08,31,2
"14","sold",7.61724240729349e-07,34,32
"15","sold",6.98248887713341e-07,38,32
"16","sold",1.82795503348028e-06,40,32
"17","sold",7.47958769896886e-07,41,32
"18","sold",5.4911749439168e-06,43,32
"19","sold",2.47102872476256e-06,47,32
"20","sold",7.66760936835709e-06,49,10
"21","sold",1.26620493513762e-06,50,10
"22","sold",9.41620077665018e-07,51,10
"23","sold",1.07786560547959e-07,53,10
"24","sold",3.54833670608362e-06,55,10
"25","sold",9.8179978122825e-06,56,10
"26","sold",7.70240115157733e-07,58,10
"27","sold",1.34496307886547e-06,61,10
"28","sold",1.12991110281308e-07,62,10
"29","sold",5.73053902505494e-07,67,6
"30","sold",1.70767076849979e-07,69,6
"31","sold",6.29245992535789e-07,71,6
"32","sold",5.45023193988926e-07,72,6
"33","sold",1.67882471304348e-06,73,6
"34","sold",7.81604024445039e-07,74,6
"35","sold",2.54977616378104e-06,75,6
"36","sold",4.85039522465814e-08,83,12
"37","sold",1.22623663137905e-06,84,12
"38","sold",3.02014621915424e-06,86,12
"39","sold",4.25566058153552e-06,87,12
"40","sold",1.30867008414152e-06,88,12
"41","sold",2.74833305943036e-06,89,12
"42","sold",3.37547426608288e-07,93,12
"43","sold",1.62629789041063e-06,94,12
"44","sold",2.23955920053798e-06,96,12
"45","sold",1.3727937359792e-06,99,27
"46","sold",2.69213302997892e-07,102,27
"47","sold",6.31800388146177e-08,103,27
"48","sold",4.17704967670617e-07,106,27
"49","sold",3.14700859718964e-07,107,27
"50","sold",1.0990638084538e-06,109,27
"51","sold",1.45696096489457e-06,110,27
"52","sold",4.32882620358283e-07,116,20
"53","sold",2.7455874719584e-06,118,20
"54","sold",3.0314328206393e-07,120,20
"55","sold",4.73872362633099e-07,121,20
"56","sold",1.09823498878336e-06,122,20
"57","sold",2.90569523249753e-07,123,20
"58","sold",8.37767334000772e-07,126,20
"59","sold",1.46366891542272e-06,132,24
"60","sold",4.89764779141029e-07,137,24
"61","sold",3.67343464264805e-07,138,24
"62","sold",4.39390090908275e-09,139,24
"63","sold",8.23676241587521e-07,141,24
"64","sold",4.89764779141029e-07,143,24
"65","sold",1.17631897043254e-09,150,5
"66","sold",6.22864874196603e-07,155,5
"67","sold",2.26372106969933e-07,156,5
"68","sold",1.41816517710625e-06,158,5
"69","sold",1.67463907965863e-06,159,5
"70","sold",1.08687091445086e-06,160,5
"71","sold",1.40569070862936e-07,161,15
"72","sold",2.51865574196554e-07,162,15
"73","sold",2.47003549730729e-07,163,15
"74","sold",1.15551291205641e-06,165,15
"75","sold",8.84905215314697e-07,166,15
"76","sold",7.66349184661969e-07,169,15
"77","sold",4.83317242598167e-07,170,15
"78","sold",1.09782486569017e-06,173,15
"79","sold",1.18871717519317e-06,174,15
"80","sold",2.34298059805883e-06,176,15
"81","sold",2.15091737703682e-07,180,3
"82","sold",1.31139055766574e-07,181,3
"83","sold",4.21740552688631e-09,183,3
"84","sold",3.09981868997894e-07,184,3
"85","sold",3.59849715210533e-07,185,3
"86","sold",1.82226643372811e-06,192,3
"87","sold",4.062484178234e-07,195,9
"88","sold",2.84982644170641e-07,196,9
