"","hhid","sold","catch","cons","cfr"
"1",2,7.344422168285e-07,3.60528444212043e-07,3.66270884718465e-06,1.01855128891542e-06
"2",5,2.05551829906931e-06,1.01012430174788e-07,1.14908393969582e-06,1.01855128891542e-06
"3",7,1.79267269642525e-05,2.74135634819478e-07,4.54837732721774e-06,1.01855128891542e-06
"4",8,3.04520015235936e-05,1.98189063780124e-07,2.79798772757148e-06,1.01855128891542e-06
"5",9,0.000136130552614257,7.53806633574682e-07,7.21766002417728e-06,1.01855128891542e-06
"6",12,2.8924759153241e-05,1.04796132249686e-07,7.87341103039653e-07,1.01855128891542e-06
"7",14,2.4089694702307e-06,1.30308799635721e-07,1.75279070539462e-06,1.01855128891542e-06
"8",19,3.45624402341339e-06,5.05119816981323e-08,5.51696742754478e-07,2.87740840779645e-06
"9",20,3.67221196547316e-07,5.24072371655461e-08,6.40829225329864e-07,2.87740840779645e-06
"10",22,2.79969794555539e-05,1.37060537489536e-07,2.31703803560253e-06,2.87740840779645e-06
"11",24,1.81337170340059e-06,3.88367974785788e-08,8.51484733553786e-07,2.87740840779645e-06
"12",25,5.49117494391681e-06,1.51776578195293e-07,2.07903257547894e-06,2.87740840779645e-06
"13",31,3.80306117844976e-06,7.42140442976908e-08,1.31381416187905e-06,2.87740840779645e-06
"14",34,2.34230204024275e-05,2.48333613208406e-07,3.69504571326906e-06,1.46704604941678e-06
"15",38,2.4438711069967e-05,1.33714777207395e-07,1.21147462258428e-06,1.46704604941678e-06
"16",40,6.53493924469201e-05,6.36775509247199e-07,5.73656815965027e-06,1.46704604941678e-06
"17",41,2.46826394065973e-05,4.29435625734139e-07,4.8108486715799e-06,1.46704604941678e-06
"18",43,0.000219646997756672,6.93667696863405e-07,5.57388455225449e-06,1.46704604941678e-06
"19",47,9.88411489905026e-05,7.97448365396875e-07,8.60599279347572e-06,1.46704604941678e-06
"20",49,0.000274117034918766,9.48804773578615e-07,5.30353775969091e-06,3.76936622222388e-06
"21",50,3.96744213009787e-05,2.44596100336164e-07,4.41033102395232e-06,3.76936622222388e-06
"22",51,3.36629177765244e-05,2.93598535224296e-07,4.57786984288754e-06,3.76936622222388e-06
"23",53,1.72458496876734e-06,1.50287911425099e-07,2.5838734651854e-06,3.76936622222388e-06
"24",55,0.00012774012141901,5.96092038883596e-07,8.85805923863581e-06,3.76936622222388e-06
"25",56,0.000333811925617605,5.03986831870844e-07,3.17298828628739e-06,3.76936622222388e-06
"26",58,2.80367401917415e-05,2.04976690577474e-07,2.03016978547147e-06,3.76936622222388e-06
"27",61,3.76589662082331e-05,4.85565099064506e-07,2.83266896817858e-06,3.76936622222388e-06
"28",62,4.406653300971e-06,3.47055880569373e-07,2.77648909564624e-06,3.76936622222388e-06
"29",67,1.73189623868327e-05,1.94794621476131e-07,1.56278314905938e-06,1.91996224815832e-05
"30",69,6.10492299738674e-06,1.33329632603547e-07,2.38651591158732e-06,1.91996224815832e-05
"31",71,2.22033943080486e-05,1.54371700737023e-07,1.74099896283335e-06,1.91996224815832e-05
"32",72,1.61326865420722e-05,8.89079875002402e-08,5.76393904882889e-07,1.91996224815832e-05
"33",73,5.23793310469567e-05,5.08523940249022e-07,1.38559943752474e-06,1.91996224815832e-05
"34",74,2.71607398494651e-05,5.83486581998247e-07,3.70235966667625e-06,1.91996224815832e-05
"35",75,7.10750105653964e-05,5.60146594581548e-07,4.56696450331779e-06,1.91996224815832e-05
"36",83,7.76063235945302e-07,2.30784547612819e-07,2.16464632118402e-06,3.51612416020288e-06
"37",84,4.38379595718011e-05,3.52728705799381e-07,4.37261867548034e-06,3.51612416020288e-06
"38",86,0.00012080584876617,1.15689696534229e-06,2.18842668300773e-05,3.51612416020288e-06
"39",87,0.000170226423261421,5.11308995272833e-07,9.32860021231577e-06,3.51612416020288e-06
"40",88,4.3971314827155e-05,3.48229273154209e-07,1.81290793129522e-06,3.51612416020288e-06
"41",89,0.000109933322377215,4.03138025936104e-07,4.56085578227863e-06,3.51612416020288e-06
"42",93,1.18141599312901e-05,2.83255183291238e-07,4.11324371575888e-06,3.51612416020288e-06
"43",94,4.55363409314977e-05,5.41227922454477e-07,9.29695593959699e-06,3.51612416020288e-06
"44",96,6.27076576150636e-05,4.99382109700001e-07,8.6267828013799e-06,3.51612416020288e-06
"45",99,5.49117494391681e-05,2.21097820501322e-07,2.38774995122752e-06,7.82525792808899e-07
"46",102,9.24299006959428e-06,8.20699104586211e-08,9.90253570241474e-07,7.82525792808899e-07
"47",103,2.14022381484518e-06,1.36797454422816e-07,1.98170671217147e-06,7.82525792808899e-07
"48",106,1.48981438469187e-05,4.51196246425968e-08,4.3092322005306e-07,7.82525792808899e-07
"49",107,8.811624072131e-06,1.56141734558761e-07,2.16672829177456e-06,7.82525792808899e-07
"50",109,3.03741270699958e-05,2.84083504529081e-07,3.63203759967105e-06,7.82525792808899e-07
"51",110,4.54191744273654e-05,3.78263063712861e-07,2.22268211529983e-06,7.82525792808899e-07
"52",116,1.68824221939731e-05,8.04503787984996e-08,1.49368630591465e-06,1.25249466391072e-06
"53",118,0.000109823498878336,2.25985188273066e-07,3.66641177596541e-06,1.25249466391072e-06
"54",120,1.08373723337855e-05,1.82840570867401e-07,3.53393816212604e-06,1.25249466391072e-06
"55",121,1.41882960341322e-05,3.40515547595102e-07,3.85075131970898e-06,1.25249466391072e-06
"56",122,4.39293995513345e-05,1.51387263618892e-07,3.18380725802712e-06,1.25249466391072e-06
"57",123,9.42275453967057e-06,8.88314007597869e-08,1.60789507874538e-06,1.25249466391072e-06
"58",126,2.99501821905276e-05,2.21847620051947e-07,4.36038495779875e-06,1.25249466391072e-06
"59",132,5.23261637263623e-05,2.09818264007161e-07,3.10892892261926e-06,4.32815429034682e-07
"60",137,1.7141767269936e-05,1.30844786230864e-07,2.50706836677225e-06,4.32815429034682e-07
"61",138,1.31325288474668e-05,1.29814920773483e-07,2.69788637101985e-06,4.32815429034682e-07
"62",139,1.50857264545175e-07,1.18880226536087e-07,2.09513835022471e-06,4.32815429034682e-07
"63",141,3.29470496635009e-05,1.0608908336107e-07,2.36166985155461e-06,4.32815429034682e-07
"64",143,1.7141767269936e-05,1.26863602310393e-07,2.54068845268486e-06,4.32815429034682e-07
"65",150,3.99948449947064e-08,1.47088038969859e-07,3.67656970170105e-06,4.3069605552177e-07
"66",155,2.01096373669189e-05,1.85191727183113e-07,2.3702196425932e-06,4.3069605552177e-07
"67",156,8.07393848192761e-06,1.89512931665909e-07,3.31014701480296e-06,4.3069605552177e-07
"68",158,4.96357811987188e-05,1.87319326567144e-07,1.65972370303982e-06,4.3069605552177e-07
"69",159,5.19138114694177e-05,4.17520752771844e-07,4.8582569190769e-06,4.3069605552177e-07
"70",160,3.60025990411849e-05,2.18852242754361e-07,2.47281700378132e-06,4.3069605552177e-07
"71",161,5.03237273689312e-06,1.02138543134841e-07,1.98080975921044e-06,2.52886613470874e-06
"72",162,9.13012706462509e-06,1.44231927236065e-07,2.50543452843454e-06,2.52886613470874e-06
"73",163,8.83037690287357e-06,1.03762297678537e-07,2.28967993370948e-06,2.52886613470874e-06
"74",165,4.04429519219744e-05,1.49809121715821e-07,1.86431178765665e-06,2.52886613470874e-06
"75",166,2.77639011304986e-05,2.32504527310253e-07,2.9238249214472e-06,2.52886613470874e-06
"76",169,2.26073009475281e-05,2.24556325812743e-07,3.27704769650091e-06,2.52886613470874e-06
"77",170,1.47895076235039e-05,1.46076910660322e-07,2.97178719555764e-06,2.52886613470874e-06
"78",173,3.68555490624558e-05,3.51298730037878e-07,5.28010356072442e-06,2.52886613470874e-06
"79",174,4.16051011317611e-05,1.92707677247259e-07,3.15612811800534e-06,2.52886613470874e-06
"80",176,9.13762433242945e-05,4.19892472257091e-07,5.21934597962997e-06,2.52886613470874e-06
"81",180,7.42066495077703e-06,2.55249257229131e-07,4.58018493779647e-06,1.32976117980124e-06
"82",181,4.58986695183008e-06,1.99030023032486e-07,2.96807290489289e-06,1.32976117980124e-06
"83",183,1.27927967648885e-07,8.0023176509474e-08,1.95917952919205e-06,1.32976117980124e-06
"84",184,1.04773871721288e-05,2.96998077142516e-07,5.1115380228021e-06,1.32976117980124e-06
"85",185,1.23788302032424e-05,2.30139837443836e-07,3.58189201359836e-06,1.32976117980124e-06
"86",192,6.51460250057801e-05,2.59874385851997e-07,3.65955327395577e-06,1.32976117980124e-06
"87",195,1.44218188327307e-05,1.32779941544172e-07,3.03598172151291e-06,8.21354488676612e-06
"88",196,9.97439254597244e-06,1.20357168586809e-07,2.62332599175507e-06,8.21354488676612e-06
"89",199,3.74795137910019e-07,5.2250802373347e-08,1.19449162798574e-06,8.21354488676612e-06
"90",202,1.33224721042952e-05,1.51438239154752e-07,2.84031720663546e-06,8.21354488676612e-06
"91",203,6.90416353736356e-06,1.25957749430518e-07,2.45941386014902e-06,8.21354488676612e-06
"92",205,3.45136253493072e-06,9.45322903558278e-08,1.83666539488473e-06,8.21354488676612e-06
"93",207,1.57461007093652e-05,1.66274226447873e-07,2.69457765015641e-06,8.21354488676612e-06
"94",210,2.29401134284662e-06,1.35618961114306e-07,2.42185332652451e-06,4.39588700581737e-07
"95",211,1.39655931195415e-05,3.15502056929527e-07,3.45562246030848e-06,4.39588700581737e-07
"96",214,5.46557770906406e-06,1.41292804842712e-07,3.05039401672091e-06,4.39588700581737e-07
"97",216,1.51859683833051e-06,1.53709887958295e-07,3.04173551171341e-06,4.39588700581737e-07
"98",217,9.51641703110815e-05,4.4650437908006e-07,3.55584423801515e-06,4.39588700581737e-07
"99",219,3.02697185748965e-05,2.23644886196235e-07,2.44167902434304e-06,4.39588700581737e-07
"100",221,3.27846213030052e-05,3.11556558971654e-07,3.07890490499504e-06,4.39588700581737e-07
"101",222,4.49366132466383e-06,1.5100299161779e-07,4.37018151431913e-06,4.39588700581737e-07
"102",225,1.66511852408727e-05,2.33495288296216e-07,5.03218873469512e-06,3.94393583340684e-07
"103",226,1.82498079772938e-05,1.4892657946345e-07,3.13564654602508e-06,3.94393583340684e-07
