"","hhid","rda_hh_catch","minbio_hh_catch_all","rda_hh_cons","minbio_hh_cons_all","rda_hh_sold","minbio_hh_sold_all"
"1",1,3,190.568845063218,3,197.360460358023,0,Inf
"2",2,5,154.502791227216,5,165.693972567277,5,100
"3",4,4,223.974552083068,5,226.406898432899,0,Inf
"4",5,5,194.88280241876,5,198.58148394637,2,351.098796379345
"5",7,5,168.640501405177,5,159.829659429673,4,238.240503498459
"6",8,4,197.790397345037,5,194.91289687202,3,341.009094238292
"7",9,3,327.117220796009,3,282.702388717421,2,466.779880956724
"8",10,5,136.848600613547,5,142.885518789225,0,Inf
"9",12,3,206.302990551029,3,216.446332001063,5,180
"10",13,5,227.557698648656,4,206.359474846698,0,Inf
"11",14,5,204.676802016649,5,225.358800310149,5,201.291325362034
"12",16,3,207.576833033433,5,208.581055316871,0,Inf
"13",19,5,174.431400494881,5,208.262794141492,5,154.514687531153
"14",20,5,158.817056950496,5,125.835890647115,5,100
"15",21,5,216.221182327523,5,201.688802321695,0,Inf
"16",22,5,139.936765655404,4,224.794630815223,5,110.699178058603
"17",23,5,205.027570003829,5,232.216627227856,0,Inf
"18",24,5,194.580807449132,5,180.512724161537,4,263.676773465863
"19",25,5,136.630033962137,4,144.549026028649,2,829.67032967033
"20",26,4,166.852669194416,4,161.56263450888,0,Inf
"21",28,5,165.799889693433,5,191.745672608415,0,Inf
"22",30,5,175.520003605379,5,177.307677540557,0,Inf
"23",31,5,175.235928328129,5,201.940560325826,2,426.123428005994
"24",33,2,246.103697065261,3,181.28913756571,0,Inf
"25",34,3,257.654441379681,3,213.232737110283,3,319.084122991143
"26",37,5,255.27100100859,5,185.994708208341,0,Inf
"27",38,4,194.845150650575,4,193.100475053782,3,306.858146118024
"28",39,2,330.489509865505,2,260.241422559824,0,Inf
"29",40,2,222.714271885266,3,218.93354596514,3,250.417678018063
"30",41,4,214.919592364633,4,198.875588775234,5,156.625716536342
"31",43,2,536.366335083465,2,565.411668145129,2,829.67032967033
"32",44,4,181.664987287314,3,217.629463154563,0,Inf
"33",45,3,217.525264131207,4,232.620566294599,0,Inf
"34",46,3,237.055142716181,3,249.91340443537,0,Inf
"35",47,2,256.469665719072,2,207.734033681085,2,829.67032967033
"36",48,2,274.3030958743,2,271.740873338264,0,Inf
"37",49,3,308.385525425975,3,201.643247807972,2,490.232953643998
"38",50,3,279.770855211508,3,199.807221159889,2,771.670820736529
"39",51,3,189.59261248502,3,187.904184082329,3,170.777044909927
"40",53,4,178.852029028903,4,168.946176202169,2,958.523482809675
"41",54,5,236.85649635534,5,261.973422097312,0,Inf
"42",55,2,230.831197128734,4,163.219548465248,2,384.210889801123
"43",56,3,322.026227963028,3,206.56963318963,2,526.557301231026
"44",58,5,150.454328029511,5,157.711316752208,5,192.368913518307
"45",61,3,311.946400141152,3,189.213348159701,2,558.093167873124
"46",62,3,188.35062353301,4,163.841514865163,5,100
"47",64,5,180.492785970981,5,198.980549846073,0,Inf
"48",67,5,167.936626712545,5,175.140394682676,6,139.952184995006
