hhid,year,month,effort_persondays
1,2012,11,5
1,2013,1,3
1,2013,5,5
1,2013,8,6
1,2013,9,6
1,2013,11,4
1,2014,1,3
1,2014,3,6
1,2014,5,9
1,2014,7,4
1,2014,9,9
1,2014,11,7
1,2015,1,3
1,2015,3,5
1,2015,5,4
1,2015,7,5
1,2015,9,7
1,2015,11,10
2,2012,11,1
2,2013,1,9
2,2013,3,1
2,2013,5,2
2,2013,8,3
2,2013,9,6
2,2013,11,4
2,2014,1,3
2,2014,5,5
2,2014,7,12
2,2014,9,4
2,2014,11,7
2,2015,1,11
2,2015,3,3
2,2015,5,5
2,2015,7,5
2,2015,9,4
2,2015,11,3
4,2012,11,4
4,2013,1,1
4,2013,3,1
4,2013,5,3
4,2013,8,2
4,2013,9,5
4,2013,11,7
4,2014,3,4
4,2014,5,1
4,2014,7,10
4,2014,9,2
4,2014,11,7
4,2015,1,2
4,2015,3,1
4,2015,5,1
4,2015,9,8
4,2015,11,8
5,2012,11,3
5,2013,3,6
5,2013,5,2
5,2013,8,7
5,2013,9,6
5,2013,11,10
7,2012,11,7
7,2013,1,12
7,2013,3,7
7,2013,5,4
7,2013,8,7
7,2013,9,7
7,2013,11,14
7,2014,1,14
7,2014,3,5
7,2014,5,6
7,2014,7,3
7,2014,9,3
7,2014,11,7
7,2015,1,3
7,2015,3,2
7,2015,5,10
7,2015,7,7
7,2015,9,18
7,2015,11,11
8,2012,11,2
8,2013,1,4
8,2013,3,1
8,2013,5,4
8,2013,8,2
8,2013,9,1
8,2013,11,10
8,2014,1,2
8,2014,3,3
8,2014,5,4
8,2014,7,3
8,2014,9,5
8,2014,11,7
8,2015,1,1
8,2015,3,2
8,2015,5,3
8,2015,7,1
8,2015,9,5
8,2015,11,10
9,2012,11,7
9,2013,1,3
9,2013,3,4
9,2013,5,6
9,2013,8,17
9,2013,9,7
9,2013,11,11
9,2014,1,9
9,2014,3,5
9,2014,5,7
9,2014,7,5
9,2014,9,21
9,2014,11,2
9,2015,1,9
9,2015,3,4
9,2015,5,5
9,2015,7,5
9,2015,9,11
9,2015,11,13
10,2012,11,2
10,2013,1,2
10,2013,5,2
10,2013,8,4
10,2013,9,2
10,2013,11,7
10,2014,1,1
10,2014,5,1
10,2014,9,7
10,2014,11,7
10,2015,1,2
10,2015,3,1
10,2015,5,3
10,2015,9,4
10,2015,11,7
12,2014,9,8
12,2014,11,13
12,2015,1,1
12,2015,3,6
12,2015,5,5
12,2015,7,8
12,2015,9,8
12,2015,11,12
13,2012,11,7
13,2013,1,7
13,2013,3,5
13,2013,5,3
13,2013,8,3
13,2013,11,3
13,2014,1,3
13,2014,3,1
13,2014,5,5
14,2012,11,2
14,2013,1,2
14,2013,3,1
14,2013,5,7
14,2013,9,1
14,2013,11,8
14,2014,1,1
14,2014,3,2
14,2014,5,1
14,2014,7,2
14,2014,9,3
14,2014,11,8
14,2015,1,2
14,2015,3,1
14,2015,7,1
14,2015,9,9
14,2015,11,7
16,2014,1,3
16,2014,11,2
16,2015,1,3
16,2015,9,3
16,2015,11,11
19,2014,5,2
19,2014,7,7
19,2014,9,7
19,2014,11,7
19,2015,1,1
19,2015,3,2
19,2015,5,1
19,2015,9,1
19,2015,11,1
20,2012,11,2
20,2013,1,1
20,2013,3,2
20,2013,5,1
20,2013,8,3
20,2013,9,5
20,2013,11,5
20,2014,1,1
20,2014,5,4
20,2014,7,9
20,2014,9,6
20,2014,11,7
20,2015,3,2
20,2015,5,3
20,2015,7,2
20,2015,9,2
20,2015,11,7
21,2013,3,1
21,2013,8,2
21,2013,9,7
21,2013,11,4
21,2014,1,1
21,2014,3,2
21,2014,5,2
21,2014,7,2
21,2014,9,2
21,2014,11,11
21,2015,1,1
21,2015,3,1
21,2015,7,1
21,2015,9,3
21,2015,11,2
22,2012,11,2
22,2013,1,4
22,2013,3,1
22,2013,5,4
22,2013,8,1
22,2013,9,1
22,2013,11,7
22,2014,3,1
22,2014,5,3
22,2014,7,6
22,2014,9,2
22,2014,11,7
22,2015,1,6
22,2015,3,3
22,2015,5,1
22,2015,7,1
22,2015,9,8
22,2015,11,10
23,2012,11,6
23,2013,1,2
23,2013,3,4
23,2013,5,6
23,2013,8,2
23,2013,9,3
23,2013,11,7
23,2014,3,1
23,2014,5,2
23,2014,7,1
23,2014,9,2
23,2014,11,7
23,2015,1,2
23,2015,5,3
23,2015,7,3
23,2015,9,3
24,2012,11,1
24,2013,1,1
24,2013,3,1
24,2013,5,2
24,2013,8,2
24,2013,9,4
24,2013,11,9
24,2014,1,9
24,2014,3,2
24,2014,5,6
24,2014,7,7
24,2014,9,5
24,2014,11,7
24,2015,1,9
24,2015,3,2
24,2015,5,2
24,2015,9,3
24,2015,11,7
25,2012,11,7
25,2013,1,2
25,2013,3,1
25,2013,5,12
25,2013,8,9
25,2013,9,2
25,2013,11,8
25,2014,1,7
25,2014,3,2
25,2014,5,7
