hhid,year,hhsize,depshare,maxeduc,index1,index2,buff,chicken,cow,duck,pig,incwage,incfish,incfarm,incskill,land,flood,floodmonths
1,2012,7,.14285715,7,-.58474231,-1.2138647,0,1,1,1,0,0,0,1,0,2,2,1
1,2015,6,.16666667,7,-.65132838,-.91450566,0,0,1,0,0,0,0,1,0,2,2,1
2,2012,7,.14285715,6,-.58474231,.59326899,0,1,0,0,1,0,0,0,0,.079999998,0,0
2,2015,10,.1,8,.96193039,-1.3189894,0,1,1,0,0,0,0,0,1,1,1,1
3,2012,7,.14285715,6,-1.3540927,2.6174948,0,1,1,1,0,0,0,1,0,2.24,2,.66666669
3,2015,6,0,7,-1.4206787,2.247829,0,0,1,0,1,0,0,1,0,1,1,1.3333334
4,2012,9,.11111111,6,.56823194,-.30115911,0,1,1,0,1,0,0,1,0,4.1799998,4,.66666669
4,2015,7,.14285715,7,.96193039,-.78172272,0,1,1,0,0,1,0,0,0,1.0842,1,1.6666666
5,2012,10,.1,2,-1.3540927,.3669709,0,1,0,1,0,0,0,1,0,1,1,.33333334
6,2012,4,0,3,-1.3540927,-1.1329799,0,1,1,1,0,1,0,0,0,.80000001,.80000001,.66666669
7,2012,13,.07692308,7,-1.3540927,.4282293,0,1,1,0,0,0,0,1,0,3,3,.66666669
7,2015,5,0,8,-1.3540927,-2.1758106,0,1,1,0,0,0,0,1,0,1.506,1.5,1
8,2012,4,.25,4,-.65132838,-2.1683021,0,1,1,1,0,0,0,1,0,1.5,1.5,.66666669
8,2015,4,.25,5,.50164586,-.56758165,0,1,1,0,0,0,0,1,0,1,1,1.3333334
9,2012,10,.1,8,-.58474231,-2.0990038,0,1,1,1,0,1,0,0,0,.15000001,0,0
9,2015,8,.125,7,-.58474231,-2.0037239,0,1,1,0,0,0,1,0,0,.0099999998,0,0
10,2012,7,.14285715,6,.50164586,-1.4987472,0,0,1,0,0,0,0,1,0,2.1500001,2,.66666669
10,2015,4,.25,6,.56823194,-.25160542,1,0,1,1,0,0,0,1,0,3,2,.33333334
11,2012,9,.11111111,4,-.47561437,-1.7074704,0,1,1,0,1,1,0,0,0,.148,0,0
11,2015,9,.11111111,6,.50164586,-2.3364189,0,1,1,1,1,0,0,1,0,.175,0,0
12,2012,6,.16666667,12,.56823194,-.46581605,0,1,1,0,0,0,0,1,0,3.02,3,.66666669
12,2015,6,.16666667,14,.56823194,-1.0345125,0,1,1,0,0,0,0,1,0,4.02,4,1.3333334
13,2012,6,.16666667,4,-1.5620027,-.35628986,0,1,1,0,0,0,0,1,0,1.005,1,.66666669
13,2015,6,.16666667,7,.57830644,-1.3747869,0,0,1,0,0,1,0,0,0,1,1,1
14,2012,3,.33333334,6,-.65132838,-1.3391638,0,0,0,0,0,0,0,1,0,1.62,1.5,.66666669
14,2015,4,.25,6,-.58474231,-2.2335696,0,0,0,0,0,0,0,1,0,1.5,1.5,1
15,2012,7,.14285715,7,-.20111838,.59646487,0,1,1,0,0,0,0,1,0,3,2.5,.66666669
16,2012,9,.11111111,8,-1.3540927,1.1092986,0,1,1,0,0,0,0,1,0,1.58,1.5,.33333334
16,2015,4,.25,6,.96193039,-1.490181,0,0,1,0,0,0,0,1,0,1,1,.33333334
17,2012,5,.2,9,-1.3540927,1.9905776,0,1,0,0,0,0,0,1,0,3.075,3,.66666669
18,2012,6,.16666667,9,-1.3540927,-1.0113829,0,0,1,0,0,1,0,0,0,0,0,0
18,2015,7,.14285715,9,-.19104391,-1.1067028,0,0,1,0,0,1,0,0,0,0,0,0
19,2012,4,.25,0,-.58474231,-.64790416,0,1,0,0,0,1,0,0,0,.0099999998,0,0
19,2015,5,.2,7,-1.3540927,-.53219396,0,0,1,0,0,1,0,0,0,.0031999999,0,0
20,2012,6,.16666667,9,.56823194,3.1480963,0,1,0,0,1,0,0,1,0,4.2199998,3,.66666669
20,2015,6,.16666667,12,1.7312807,.045253437,0,1,1,0,1,0,0,1,0,4,3,1.3333334
