"","hhid","catch_species","consumption_species","sold_species","cfr"
"1",1,18,17,0,59
"2",2,20,19,1,59
"3",4,12,7,0,59
"4",5,23,20,2,59
"5",7,32,30,6,59
"6",8,23,18,5,59
"7",9,21,18,6,59
"8",10,20,20,0,59
"9",12,15,13,2,59
"10",13,11,9,0,59
"11",14,10,9,2,59
"12",16,10,7,0,59
"13",19,14,13,10,43
"14",20,27,24,1,43
"15",21,13,10,0,43
"16",22,22,22,3,43
"17",23,18,17,0,43
"18",24,26,26,7,43
"19",25,22,20,1,43
"20",26,22,22,0,43
"21",28,17,16,0,43
"22",30,17,14,0,43
"23",31,18,18,2,43
"24",179,22,22,0,34
"25",180,24,23,6,34
"26",181,18,18,7,34
"27",182,15,15,0,34
"28",183,17,17,3,34
"29",184,21,21,5,34
"30",185,18,18,5,34
"31",188,13,13,0,34
"32",190,22,22,0,34
"33",192,24,24,4,34
"34",529,18,18,1,46
"35",530,18,16,1,46
"36",531,11,11,0,46
"37",532,32,26,8,46
"38",533,22,22,3,46
"39",536,12,12,1,46
"40",538,10,10,3,46
"41",540,27,23,4,46
"42",541,16,14,0,46
"43",543,17,13,6,46
"44",145,14,14,0,37
"45",147,10,10,0,37
"46",150,12,12,1,37
"47",151,14,14,0,37
"48",155,20,19,7,37
"49",156,19,18,7,37
"50",157,22,21,0,37
"51",158,23,23,5,37
"52",159,24,23,10,37
"53",160,23,21,8,37
"54",67,38,33,9,59
"55",68,5,5,0,59
"56",69,23,23,4,59
"57",70,18,18,0,59
"58",71,31,26,7,59
"59",72,18,12,5,59
"60",73,13,10,10,59
"61",74,24,21,4,59
"62",75,14,7,8,59
"63",79,10,10,0,59
"64",545,27,23,10,48
"65",546,34,34,0,48
"66",547,19,18,7,48
"67",550,38,28,19,48
"68",551,24,24,11,48
"69",552,25,23,11,48
"70",553,22,21,7,48
"71",555,23,22,8,48
"72",556,31,29,3,48
"73",557,16,12,10,48
"74",241,23,23,0,31
"75",244,12,12,4,31
"76",246,26,25,0,31
"77",247,12,12,0,31
"78",248,13,13,0,31
"79",249,15,14,5,31
"80",251,8,8,0,31
"81",252,9,9,0,31
"82",253,34,34,8,31
"83",254,13,13,4,31
"84",193,16,16,0,35
"85",194,21,20,0,35
"86",195,29,29,4,35
"87",196,13,13,3,35
"88",197,14,14,0,35
"89",199,23,23,2,35
"90",202,34,33,9,35
"91",203,29,29,1,35
"92",205,28,26,5,35
"93",207,34,34,9,35
"94",49,18,15,4,28
"95",50,12,11,3,28
"96",51,13,13,4,28
"97",53,8,8,1,28
"98",54,3,3,0,28
"99",55,16,14,4,28
"100",56,15,15,2,28
"101",58,14,13,5,28
"102",61,17,15,5,28
"103",62,17,14,1,28
"104",64,11,10,0,28
"105",625,28,26,11,64
"106",629,15,15,2,64
"107",630,21,21,0,64
"108",631,34,33,5,64
"109",632,26,22,10,64
"110",633,24,24,2,64
"111",634,21,21,0,64
"112",636,33,30,3,64
"113",637,25,24,2,64
"114",638,19,19,0,64
"115",83,12,12,1,35
"116",84,12,12,4,35
"117",85,9,9,0,35
"118",86,4,4,1,35
"119",87,9,9,1,35
"120",88,7,6,5,35
"121",89,7,7,1,35
"122",93,14,14,3,35
"123",94,9,8,3,35
"124",96,7,6,3,35
"125",257,22,22,6,36
"126",258,22,22,7,36
"127",259,17,16,5,36
"128",260,20,20,5,36
"129",262,19,18,1,36
"130",265,20,20,7,36
"131",267,20,20,0,36
"132",269,21,21,3,36
"133",271,23,23,4,36
"134",272,23,23,6,36
"135",609,14,14,0,80
"136",610,22,21,4,80
"137",611,24,24,0,80
"138",612,21,20,0,80
"139",613,25,25,0,80
"140",616,16,16,5,80
"141",619,15,15,0,80
"142",620,23,23,0,80
"143",621,20,20,4,80
"144",624,35,35,2,80
"145",161,36,36,5,55
"146",162,25,25,4,55
"147",163,26,26,4,55
"148",165,25,25,3,55
"149",166,31,31,8,55
"150",169,26,26,8,55
"151",170,29,28,5,55
"152",173,25,24,7,55
