Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Acantopsis spp,Cambodia,32.12513,8.5481032,20.45711,1103,0.291252312,0.077498669,0.185467906,NA,3.24000001,14.35000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acantopsis thiemmedhi,Cambodia,4.409,1.838504,0.995004,1103,0.039972801,0.016668214,0.009020888,NA,3.24000001,14.35000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Amblypharyngodon chulabhornae,Cambodia,557.2348118,357.0203876,52.5295776,1103,5.051992854,3.236812217,0.476242771,NA,3.130000114,4.880000114,19.2562766,2.7853029,2.2285454,302.6586782,115.7368077,274.6029113,67.51045527,271.0656712,183.9765077,148.6823384,345.6117444,103.7862267,1.481252046,0.368914291,0.543547659,0.67257484,0.289342019,0.963518987,1,4
Anabas testudineus,Cambodia,4307.990956,2157.091503,722.3724254,1103,39.05703496,19.55658661,6.549160702,NA,2.980000019,25,16.3166667,1.405,0.75,207.1625,196.388,142.1404,79.67313569,537.366548,546.6666667,217.2207808,203.6784325,200.5059786,1.255128208,0.186092715,0.182926829,0.460361111,0.49097,0.498738246,1,1
Anematichthys repasson,Cambodia,51.710919,23.6609622,4.5333,1103,0.468820662,0.214514617,0.041099728,NA,2.619999886,34.15999985,22.030469,3.0274894,2.906318,575.3829501,99.5550361,241.797424,59.00918405,249.3815503,141.071968,78.2087825,401.7878107,117.8672607,1.694651462,0.400991974,0.708858049,1.278628778,0.24888759,0.848412014,2,4
Bagarius yarrelli,Cambodia,1.75,0.24125,1.5,1103,0.01586582,0.002187217,0.013599275,NA,3.730000019,244,20.8728461,1.6383068,1.3021145,85.7344783,18.8962501,297.4866068,62.2818754,460.8416446,314.8724632,524.8763495,2116.82211,95.80263228,1.605603546,0.216994278,0.317588902,0.190521063,0.047240625,1.043812655,2,2
Barbodes aurotaeniatus,Cambodia,22.7389999,10.9117834,3.95,1103,0.206155937,0.098928227,0.035811423,NA,3.289999962,7.320000172,17.2144622,1.6994372,2.4206846,353.7067443,84.8880851,37.3025778,75.51789797,444.2647248,169.3735731,127.2240372,471.2086502,764.0222655,1.3241894,0.22509102,0.590410878,0.786014987,0.212220213,0.130886238,1,3
Barbodes rhombeus,Cambodia,29.037204,11.1002844,1.386,1103,0.263256609,0.100637211,0.01256573,NA,2.900000095,7.929999828,17.0416641,2.143529,2.9735472,544.4530362,88.7071537,39.30483,76.28363007,352.2228997,137.882459,82.65175692,450.9219193,725.1017241,1.310897238,0.283911126,0.725255415,1.209895636,0.221767884,0.137911684,2,3
Barbonymus altus,Cambodia,1.4847,0.727965,0,1103,0.013460562,0.006599864,0,NA,2.400000095,25,22.1,3.175,3.705,4530,200,2318.49,58.82352941,237.7952756,110.6612686,9.933774834,200,12.29248347,1.7,0.420529801,0.903658537,10.06666667,0.5,8.135052632,3,5
Barbonymus gonionotus,Cambodia,519.4660938,178.6102389,244.5186044,1103,4.70957474,1.619313136,2.216850448,NA,2.359999895,40.5,18.15,2.485,3.11,1155,437.3333333,195.6266667,71.62534435,303.8229376,131.8327974,38.96103896,91.46341464,145.6856597,1.396153846,0.329139073,0.758536585,2.566666667,1.093333333,0.686409357,3,5
