Type,Order,Family,Genus,Genus.Species,Closest.Taxa,speciesName,Updated Taxonomy,In Master Database?,Genus in masterbase?,speciescode,SpeciesGroup,Number of them,,Find any papers?,Confirmed/Notes
Fish,Siluriformes,Bagridae,Mystus,Mystus albolineatus,Mystus spp,Mystus albolineatus,No,No,Yes,1,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus singaringan,Mystus spp,Mystus singaringan,No,No,Yes,2,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus multiradiatus,Mystus spp,Mystus multiradiatus,No,No,Yes,3,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus mysticetus,Mystus spp,Mystus mysticetus,No,No,Yes,4,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus atrifasciatus,Mystus spp,Mystus atrifasciatus,No,No,Yes,5,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus gulio,Mystus spp,Mystus gulio,No,No,Yes,6,1,,,,
Fish,Siluriformes,Bagridae,Mystus,Mystus bocourti,Mystus spp,Mystus bocourti,No,No,Yes,7,1,,,,
Fish,Siluriformes,Bagridae,Hemibagrus,Hemibagrus nemurus,Hemibagrus nemurus,Hemibagrus spilopterus/nemurus,No,No,Yes,8,2,,,"Yes, 3",
Fish,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys apogon,Cyclocheilichthys apogon,Anematichthys apogon,Cyclocheilichthys apogon,Yes,Yes,9,3,3,,,
Fish,Cypriniformes,Cyprinidae,Anematichthys,Anematichthys repasson,,Anematichthys repasson,No,No,No,10,3,,Genus is probably Cyclochelichthys,No,Confirmed
Fish,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys armatus,,Anematichthys armatus,Cyclocheilichthys armatus,Yes,Yes,11,3,1,,,
Fish,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys lagleri,Cyclocheilichthys spp,Cyclocheilichthys lagleri,No,No,Yes,12,3,,,,
Fish,Cypriniformes,Cyprinidae,Hypsibarbus,Hypsibarbus lagleri,Hypsibarbus myitkyinae,Hypsibarbus lagleri,No,No,Yes,13,4,,,,
Fish,Cypriniformes,Cyprinidae,Hypsibarbus,Hypsibarbus malcolmi,Hypsibarbus myitkyinae,Hypsibarbus malcolmi,No,No,Yes,14,4,,,,
Fish,Cypriniformes,Cyprinidae,Barbonymus,Barbonymus gonionotus,Barbonymus gonionotus,Barbonymus gonionotus,No,Yes,Yes,15,4,7,,,
Fish,Cypriniformes,Cyprinidae,Puntius,Puntius brevis,Puntius brevis,Puntius brevis,No,Yes,Yes,16,5,3,,Genus is probably Barbodes,
Fish,Cypriniformes,Cyprinidae,Puntius,Puntius spp,Puntius spp,Puntius sp. (cf. masyai),,,Yes,17,5,,,Genus is probably Barbodes,
Fish,Cypriniformes,Cyprinidae,Barbodes,Barbodes aurotaeniatus,,Puntius aurotaeniatus,Barbodes aurotaeniatus,No,No,18,5,,No,,Use Puntius
Fish,Cypriniformes,Cyprinidae,Barbodes,Barbodes rhombeus,,Puntius rhombeus,Barbodes rhombeus,No,No,19,5,,"No, but found several other Puntius papers while searching",,Use Puntius
Fish,Cypriniformes,Cyprinidae,Labiobarbus,Labiobarbus siamensis,Labiobarbus spp,Labiobarbus siamensis,No,No,Yes,20,6,,,,
Fish,Cypriniformes,Cyprinidae,Labiobarbus,Labiobarbus leptocheilus,Labiobarbus spp,Labiobarbus leptocheilus,No,No,Yes,21,6,,,,
Fish,Cypriniformes,Cyprinidae,Henicorhynchus,Henicorhynchus siamensis,Henicorhynchus siamensis,Henicorhynchus siamensis,No,Yes,Yes,22,8,6,,,
Fish,Cypriniformes,Cyprinidae,Henicorhynchus,Henicorhynchus entmema,Henicorhynchus spp,Henicorhynchus lobatus,Henicorhynchus entmema,No,Yes,23,8,,,,
Fish,Cypriniformes,Cyprinidae,Esomus,Esomus metallicus,Esomus spp,Esomus metallicus,No,Yes,Yes,24,9,2,,,
Fish,Cypriniformes,Cyprinidae,Esomus,Esomus longimanus,Esomus longimanus,Esomus longimanus,No,Yes,Yes,25,9,4,,,
Fish,Cypriniformes,Cyprinidae,Danio,Danio albolineatus,,Danio albolineatus,No,No,No,26,9,,,No,
Fish,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon chulabhornae,Amblypharyngodon mola,Amblypharyngodon chulabhornae,No,No,Yes,27,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora daniconius,Rasbora spp,Rasbora daniconius,No,No,Yes,28,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora aurotaenia,Rasbora spp,Rasbora aurotaenia,No,Yes,Yes,29,9,2,,,
Fish,Cypriniformes,Cyprinidae,Trigonopoma,Trigonopoma pauciperforatum,,Rasbora pauciperforata/Trigonopoma pauciperforatum,Trigonopoma pauciperforatum,No,No,30,9,,,"No, not for either genus",Use Rasbora
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora spp,Rasbora spp,Rasbora myersi/Rasbora dusonensis,No,No,Yes,31,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora borapetensis,Rasbora borapetensis,Rasbora borapetensis,No,Yes,Yes,32,9,2,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora tornieri,Rasbora tornieri,Rasbora tornieri,No,Yes,Yes,33,9,3,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora paviana,Rasbora spp,Rasbora paviana,No,No,Yes,34,9,,,,
Fish,Clupeiformes,Clupeidae,Clupeoides,Clupeoides borneensis,Clupeoides borneensis,Clupeoides borneensis,No,Yes,Yes,36,10,2,,,
Fish,Cypriniformes,Cyprinidae,Puntioplites,Puntioplites proctozystron,Puntioplites proctozystron,Puntioplites proctozystron,No,Yes,Yes,37,11,2,,,
Fish,Perciformes,Anabantidae,Anabas,Anabas testudineus,Anabas testudineus,Anabas testudineus,No,Yes,Yes,38,12,18,,,
Fish,Cypriniformes,Cyprinidae,Puntioplites,Puntioplites falcifer,Puntioplites proctozystron,Puntioplites falcifer,No,No,Yes,39,11,,,,
Fish,Siluriformes,Clariidae,Clarias,Clarias batrachus,Clarias batrachus,Clarias batrachus,No,Yes,Yes,40,13,15,,,
Fish,Siluriformes,Clariidae,Clarias,Clarias macrocephalus,Clarias macrocephalus,Clarias macrocephalus,No,Yes,Yes,41,13,13,,,
Fish,Siluriformes,Clariidae,Clarias,Clarias meladerma,Clarias spp,Clarias meladerma,No,No,Yes,42,13,,,,
Fish,Perciformes,Channidae,Channa,Channa striata,Channa striata,Channa striata,No,Yes,Yes,43,14,11,,,
Fish,Perciformes,Datnioididae,Datnioides,Datnioides undecimradiatus,,Datnioides undecimradiatus,No,No,No,44,15,,,No,
Fish,Perciformes,Nandidae,Nandus,Nandus nandus,Nandus nandus,Nandus nandus,No,Yes,Yes,45,15,1,,,
Fish,Perciformes,Nandidae,Nandus,Nandus oxyrhynchus,Nandus nandus,Nandus oxyrhynchus,No,No,Yes,46,15,,,,
Fish,Perciformes,Pristolepididae,Pristolepis fasciata,Pristolepis fasciata,,Pristolepis fasciata,No,No,No,47,15,,,No,
Fish,Perciformes,Ambassidae,Parambassis,Parambassis apogonoides,Parambassis spp,Parambassis apogonoides,No,No,Yes,48,16,,,,
Fish,Perciformes,Ambassidae,Parambassis,Parambassis wolffii,Parambassis wolffii,Parambassis wolffii,No,Yes,Yes,49,16,3,,,
Fish,Perciformes,Ambassidae,Parambassis,Parambassis siamensis,Parambassis spp,Parambassis siamensis,No,No,Yes,50,16,,,,
Fish,Perciformes,Osphronemidae,Trichopodus,Trichopodus pectoralis,Trichopodus pectoralis,Trichopodus pectoralis,No,No,No,51,17,,,No,
Fish,Perciformes,Osphronemidae,Trichopodus,Trichopodus microlepis,Trichopodus microlepis,Trichogaster microlepis,No,Yes,Yes,52,17,3,,,
Fish,Perciformes,Osphronemidae,Trichopodus,Trichopodus trichopterus,Trichopodus spp,Trichopodus trichopterus,No,No,No,53,17,,,"Found 1, but numbers don't quite add up (Influence of dietary lipid sources on growth, reproductive performance and fatty acid compositions of muscle and egg in three‐spot gourami (Trichopodus trichopterus …)",
Fish,Cypriniformes,Cyprinidae,Lobocheilos,Lobocheilos rhabdoura,,Lobocheilos rhabdoura,No,No,No,54,8,,,No,
Fish,Cypriniformes,Cyprinidae,Lobocheilos,Lobocheilos melanotaenia,,Lobocheilos melanotaenia,No,No,No,55,9,,,No,
Fish,Perciformes,Osphronemidae,Trichopsis,Trichopsis schalleri,Trichopsis spp,Trichopsis schalleri,No,No,Yes,56,18,,,,
