"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","tl","catch","cfr",413,413,-17.1643519432575,412,3.31e-50,1.99e-49,"****"
"2","tl","catch","cons",413,413,13.8976706274603,412,2.79e-36,1.67e-35,"****"
"3","tl","catch","sold",413,413,-8.28787214543493,412,1.64e-15,9.84e-15,"****"
"4","tl","cfr","cons",413,413,20.3346338506942,412,3.7e-64,2.22e-63,"****"
"5","tl","cfr","sold",413,413,0.242453449918212,412,0.809,1,"ns"
"6","tl","cons","sold",413,413,-10.0410404863714,412,2.28e-21,1.37e-20,"****"
"7","tl","catch","cfr",266,266,-13.0016192129938,265,3.16e-30,1.9e-29,"****"
"8","tl","catch","cons",266,266,13.8941146869291,265,2.43e-33,1.46e-32,"****"
"9","tl","catch","sold",266,266,-11.0036900828519,265,1.92e-23,1.15e-22,"****"
"10","tl","cfr","cons",266,266,16.5870200678449,265,7.23e-43,4.34e-42,"****"
"11","tl","cfr","sold",266,266,-3.77375437636418,265,0.000198,0.001,"**"
"12","tl","cons","sold",266,266,-11.6746025161055,265,1.1e-25,6.6e-25,"****"
