"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","nd_score","catch","cfr",413,413,-23.4564695120394,412,6.77e-78,4.06e-77,"****"
"2","nd_score","catch","cons",413,413,-0.720237790520962,412,0.472,1,"ns"
"3","nd_score","catch","sold",413,413,18.5701738403368,412,2.27e-56,1.36e-55,"****"
"4","nd_score","cfr","cons",413,413,23.0546442977397,412,3.88e-76,2.33e-75,"****"
"5","nd_score","cfr","sold",413,413,24.7436497911095,412,1.7e-83,1.02e-82,"****"
"6","nd_score","cons","sold",413,413,18.6496094037685,412,1.02e-56,6.12e-56,"****"
"7","nd_score","catch","cfr",266,266,-17.888037438079,265,1.79e-47,1.07e-46,"****"
"8","nd_score","catch","cons",266,266,-1.64411470429253,265,0.101,0.606,"ns"
"9","nd_score","catch","sold",266,266,10.1963101220196,265,8.23e-21,4.94e-20,"****"
"10","nd_score","cfr","cons",266,266,17.1608271068174,265,6.68e-45,4.01e-44,"****"
"11","nd_score","cfr","sold",266,266,19.6560169015635,265,1.12e-53,6.72e-53,"****"
"12","nd_score","cons","sold",266,266,9.26272879234356,265,7.09e-18,4.25e-17,"****"
