Table X: System_X_Catch (species)						
		(1)	(2)	(3)	(4)	(5)
		base	effort	hh	mkt	mktx
VARIABLES	LABELS	Number of species caught by households	Number of species caught by households	Number of species caught by households	Number of species caught by households	Number of species caught by households
						
cfr_species	Number of species in system (CFR)	0.347***	0.347***	0.350***	0.373***	0.358***
		(0.0936)	(0.0936)	(0.0915)	(0.0855)	(0.0967)
city_distance	Distance to nearest large town (km)--Battambang, Kampong Thom, Pursat, Siem Reap				0.131***	0.0299
					(0.0473)	(0.109)
c.cfr_species#c.city_distance						0.00151
						(0.00213)
effort_persondays	Person-days					0.188***
						(0.0239)
hhsize	Household size			0.288	0.321	-0.513*
				(0.368)	(0.371)	(0.301)
depshare	Share of household members <=15 or >=65			-8.991	-7.234	-10.22
				(8.189)	(8.234)	(6.905)
maxeduc	Max educational attainment by any hh member (years)			-0.0446	-0.0218	0.142
				(0.167)	(0.164)	(0.128)
index1	Household amenities index			-1.806**	-1.537**	-1.547**
				(0.721)	(0.716)	(0.600)
index2	Livelihood asset index			-0.501	-0.253	0.0199
				(0.406)	(0.414)	(0.347)
Constant	Constant	5.505	5.505	4.595	-2.043	-7.833
		(4.409)	(4.409)	(5.968)	(6.452)	(6.290)
						
Observations		410	410	410	410	410
R-squared		0.144	0.144	0.181	0.217	0.480
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Outcome variable is species at the CFR level. Robust standard errors clustered at CFR level in parentheses. *** p<0.01, ** p<0.05, * p<0.1						
