"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","commonness","catch","cfr",413,413,-9.04706493736523,412,5.86e-18,3.52e-17,"****"
"2","commonness","catch","cons",413,413,-24.1285204746438,412,7.95e-81,4.77e-80,"****"
"3","commonness","catch","sold",413,413,-10.255983100254,412,3.92e-22,2.35e-21,"****"
"4","commonness","cfr","cons",413,413,0.268657190970938,412,0.788,1,"ns"
"5","commonness","cfr","sold",413,413,-8.91280601842483,412,1.63e-17,9.78e-17,"****"
"6","commonness","cons","sold",413,413,-9.05374375458044,412,5.57e-18,3.34e-17,"****"
"7","commonness","catch","cfr",267,267,-7.62268368436892,266,4.4e-13,2.64e-12,"****"
"8","commonness","catch","cons",267,267,-20.5894351855749,266,5.53e-57,3.32e-56,"****"
"9","commonness","catch","sold",267,267,-11.1164043781414,266,7.87e-24,4.72e-23,"****"
"10","commonness","cfr","cons",267,267,-1.38341499190623,266,0.168,1,"ns"
"11","commonness","cfr","sold",267,267,-10.3591535237619,266,2.4e-21,1.44e-20,"****"
"12","commonness","cons","sold",267,267,-10.3336541452112,266,2.9e-21,1.74e-20,"****"
