Table X: System_X_Consumption (species)						
		(1)	(2)	(3)	(4)	(5)
		base	effort	hh	mkt	mktx
VARIABLES	LABELS	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households
						
cfr_species	Number of species in system (CFR)	0.296***	0.327***	0.344***	0.360***	0.341***
		(0.0813)	(0.0692)	(0.0673)	(0.0602)	(0.0781)
city_distance	Distance to nearest large town (km)--Battambang, Kampong Thom, Pursat, Siem Reap				0.0992***	0.0730
					(0.0310)	(0.0902)
c.cfr_species#c.city_distance						0.000527
						(0.00168)
effort_persondays	Person-days		0.172***	0.174***	0.170***	0.170***
			(0.0258)	(0.0232)	(0.0211)	(0.0209)
hhsize	Household size			-0.484	-0.441	-0.431
				(0.299)	(0.299)	(0.306)
depshare	Share of household members <=15 or >=65			-8.445	-7.057	-7.021
				(6.158)	(6.120)	(6.114)
maxeduc	Max educational attainment by any hh member (years)			0.0588	0.0724	0.0725
				(0.119)	(0.115)	(0.115)
index1	Household amenities index			-1.787***	-1.584***	-1.583***
				(0.554)	(0.531)	(0.534)
index2	Livelihood asset index			-0.322	-0.140	-0.142
				(0.318)	(0.321)	(0.322)
Constant	Constant	6.537	-5.701	-3.842	-8.654*	-7.701
		(3.963)	(3.826)	(5.157)	(4.960)	(5.421)
						
Observations		410	410	410	410	410
R-squared		0.123	0.394	0.429	0.453	0.454
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Outcome variable is species at the CFR level. Robust standard errors clustered at CFR level in parentheses. *** p<0.01, ** p<0.05, * p<0.1						
