="Summary statistics of key variables"
="",="",="",="",="",=""
="",="p50",="mean",="sd",="min",="max"
="Number of species in system (CFR)",="53",="51.84559",="13.3392",="27",="80"
="Number of species caught by households",="22",="23.51961",="12.19758",="3",="72"
="Number of species consumed by households",="20.5",="21.91912",="11.24054",="3",="70"
="Number of species sold",="3",="4.583333",="6.498756",="0",="43"
="Shannon index--system CFR level",="2.780933",="2.748369",=".3838021",="2.010767",="3.444578"
="Shannon index--catch",="2.369512",="2.314665",=".5405018",=".5460406",="3.682013"
="Shannon index--consumption",="2.416722",="2.343787",=".5202189",=".6323569",="3.628044"
="Shannon index--sold",=".7200941",=".8102812",=".8190624",="0",="3.301198"
="Nutrient density score: cfr level",="4.57396",="4.545083",=".4592524",="3.289522",="5.131168"
="Nutrient density score: catch level",="3.992622",="3.88988",=".4942642",="2.592312",="4.93154"
="Nutrient density score: cons level",="4.003515",="3.900994",=".4742475",="2.557753",="5.093281"
="Nutrient density score: sold level",="2.859761",="2.269992",="1.796575",="0",="5.056938"
="Body size: cfr level",="38.43687",="43.09488",="16.02215",="22.55717",="88.3886"
="Body size: catch level",="53.74468",="55.30293",="18.24615",="15.7449",="110.4957"
="Body size: cons level",="53.17149",="54.32988",="16.45836",="15.70292",="111.3518"
="Body size: sold level",="44.41623",="47.26165",="43.42255",="0",="122.1464"
="Commonness index: cfr level",="9.25e-07",="2.42e-06",="5.06e-06",="8.89e-08",=".0000274"
="Commonness index: catch level",="1.20e-07",="1.67e-07",="1.66e-07",="3.22e-09",="1.16e-06"
="Commonness index: cons level",="6.52e-08",="7.59e-08",="5.81e-08",="3.04e-09",="6.08e-07"
="Commonness index: sold level",="1.34e-07",="5.79e-07",="1.11e-06",="0",="9.82e-06"
="Person-days",="57",="61.77206",="34.12075",="2",="215"
="Household size",="5",="5.681373",="1.951864",="2",="13"
="Share of household members <=15 or >=65",=".1666667",=".1753192",=".0856158",="0",=".5"
="Max educational attainment by any hh member (years)",="6",="6.367647",="3.924613",="0",="16"
="Household amenities index",="-.6513284",="-.5974919",=".9339621",="-2.397939",="2.184322"
="Livelihood asset index",="-.1025799",=".2487559",="1.736984",="-2.736646",="9.152529"
="Number of buffalo owned",="0",=".1960784",=".397516",="0",="1"
="Number of chickens owned",="1",=".9215686",=".2691793",="0",="1"
="Number of cows owned",="1",=".6764706",=".4683971",="0",="1"
="Number of ducks owned",="0",=".377451",=".4853443",="0",="1"
="Number of pigs owned",="0",=".3137255",=".4645759",="0",="1"
="Total land area owned (Ha)",="1.665",="2.297065",="2.361844",="0",="25"
="Primary household income from fishing sector",="0",=".0465686",=".2109718",="0",="1"
="Primary household income from farming sector (excl. wage labor)",="1",=".747549",=".4349519",="0",="1"
="Primary household income from wage labor",="0",=".1176471",=".3225853",="0",="1"
="Primary household income from skilled/salaried labor",="0",=".0269608",=".1621677",="0",="1"
="Distance to nearest town (km)",="37.3",="37.52892",="18.50496",="8.9",="85.7"
="Reservoir for irrigation in upland area",="0",=".1789216",=".3837572",="0",="1"
="Community pond within agricultural land--not flood prone",="0",=".3529412",=".4784713",="0",="1"
="Community pond within agricultural land--flood prone",="0",=".254902",=".4363412",="0",="1"
="Demarcated area in larger water body",="0",=".2132353",=".4100954",="0",="1"
="Observations",="408",="",="",="",=""
