"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","commonness","catch","cfr",413,413,-9.04706493736523,412,5.86e-18,3.52e-17,"****"
"2","commonness","catch","cons",413,413,14.3217811804103,412,4.84e-38,2.9e-37,"****"
"3","commonness","catch","sold",413,413,-7.46512697467971,412,5e-13,3e-12,"****"
"4","commonness","cfr","cons",413,413,9.39112363067453,412,4.1e-19,2.46e-18,"****"
"5","commonness","cfr","sold",413,413,7.14413146384458,412,4.14e-12,2.48e-11,"****"
"6","commonness","cons","sold",413,413,-9.19510150768983,412,1.88e-18,1.13e-17,"****"
"7","commonness","catch","cfr",267,267,-7.62268368436892,266,4.4e-13,2.64e-12,"****"
"8","commonness","catch","cons",267,267,14.2762487052861,266,1.03e-34,6.18e-34,"****"
"9","commonness","catch","sold",267,267,-9.68285456621303,266,3.44e-19,2.06e-18,"****"
"10","commonness","cfr","cons",267,267,8.05086532430103,266,2.76e-14,1.66e-13,"****"
"11","commonness","cfr","sold",267,267,5.0673336095803,266,7.56e-07,4.54e-06,"****"
"12","commonness","cons","sold",267,267,-10.5199372557693,266,7.21e-22,4.33e-21,"****"
