"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","simpson","catch","cfr",413,413,-10.0119842685138,412,2.89e-21,1.73e-20,"****"
"2","simpson","catch","cons",413,413,-4.03161366611627,412,6.6e-05,0.000396,"***"
"3","simpson","catch","sold",413,413,7.09265845102286,412,5.77e-12,3.46e-11,"****"
"4","simpson","cfr","cons",413,413,8.81778978559609,412,3.33e-17,2e-16,"****"
"5","simpson","cfr","sold",413,413,10.6530567766302,412,1.43e-23,8.58e-23,"****"
"6","simpson","cons","sold",413,413,7.61170470293836,412,1.86e-13,1.12e-12,"****"
"7","simpson","catch","cfr",267,267,-8.14120830418969,266,1.52e-14,9.12e-14,"****"
"8","simpson","catch","cons",267,267,-4.16000498789965,266,4.3e-05,0.000258,"***"
"9","simpson","catch","sold",267,267,17.2494805801546,266,2.9e-45,1.74e-44,"****"
"10","simpson","cfr","cons",267,267,6.58177544659353,266,2.46e-10,1.48e-09,"****"
"11","simpson","cfr","sold",267,267,18.3648104299639,266,3.28e-49,1.97e-48,"****"
"12","simpson","cons","sold",267,267,17.5143425381514,266,3.33e-46,2e-45,"****"
