"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","tl","catch","cfr",413,413,10.9633989191479,412,1.03e-24,6.18e-24,"****"
"2","tl","catch","cons",413,413,2.05998684322649,412,0.04,0.24,"ns"
"3","tl","catch","sold",413,413,3.55709531994581,412,0.000419,0.003,"**"
"4","tl","cfr","cons",413,413,-10.7650602580833,412,5.56e-24,3.34e-23,"****"
"5","tl","cfr","sold",413,413,-1.92520158812957,412,0.055,0.329,"ns"
"6","tl","cons","sold",413,413,3.2296469196738,412,0.001,0.008,"**"
"7","tl","catch","cfr",266,266,9.33051045672428,265,4.39e-18,2.63e-17,"****"
"8","tl","catch","cons",266,266,3.2830619902086,265,0.001,0.007,"**"
"9","tl","catch","sold",266,266,-11.1846881999531,265,4.82e-24,2.89e-23,"****"
"10","tl","cfr","cons",266,266,-8.53202268446258,265,1.12e-15,6.72e-15,"****"
"11","tl","cfr","sold",266,266,-13.6065738997883,265,2.47e-32,1.48e-31,"****"
"12","tl","cons","sold",266,266,-10.7882114695662,265,9.85e-23,5.91e-22,"****"
