.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
nd_score,catch,cfr,413,413,-23.45646951203939,412,6.769999999999999e-78,4.0599999999999995e-77,****
nd_score,catch,cons,413,413,-0.7202377905209624,412,0.472,1,ns
nd_score,catch,sold,413,413,18.570173840336828,412,2.2699999999999998e-56,1.3599999999999997e-55,****
nd_score,cfr,cons,413,413,23.054644297739674,412,3.879999999999999e-76,2.3299999999999997e-75,****
nd_score,cfr,sold,413,413,24.74364979110951,412,1.6999999999999995e-83,1.0199999999999998e-82,****
nd_score,cons,sold,413,413,18.649609403768462,412,1.02e-56,6.119999999999999e-56,****
nd_score,catch,cfr,266,266,-17.888037438079014,265,1.7899999999999997e-47,1.0699999999999999e-46,****
nd_score,catch,cons,266,266,-1.6441147042925301,265,0.101,0.606,ns
nd_score,catch,sold,266,266,10.196310122019572,265,8.23e-21,4.94e-20,****
nd_score,cfr,cons,266,266,17.16082710681741,265,6.679999999999999e-45,4.01e-44,****
nd_score,cfr,sold,266,266,19.656016901563508,265,1.12e-53,6.72e-53,****
nd_score,cons,sold,266,266,9.26272879234356,265,7.09e-18,4.25e-17,****
