"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","species","catch_species","cfr",413,413,-35.1932832122283,412,3.11e-126,1.87e-125,"****"
"2","species","catch_species","consumption_species",413,413,11.79526495517,412,7.26e-28,4.36e-27,"****"
"3","species","catch_species","sold_species",413,413,36.7515238333814,412,4.07e-132,2.44e-131,"****"
"4","species","cfr","consumption_species",413,413,38.4389149179312,412,2.43e-138,1.46e-137,"****"
"5","species","cfr","sold_species",413,413,66.3150064762514,412,5.84e-222,3.5e-221,"****"
"6","species","consumption_species","sold_species",413,413,33.7787720158477,412,8.87e-121,5.32e-120,"****"
"7","species","catch_species","cfr",267,267,-31.3373105427615,266,2.83e-91,1.7e-90,"****"
"8","species","catch_species","consumption_species",267,267,10.6195337679441,266,3.41e-22,2.05e-21,"****"
"9","species","catch_species","sold_species",267,267,29.4149327252099,266,1.36e-85,8.16e-85,"****"
"10","species","cfr","consumption_species",267,267,33.8906126230033,266,1.62e-98,9.72e-98,"****"
"11","species","cfr","sold_species",267,267,55.7599437388327,266,8.97e-149,5.38e-148,"****"
"12","species","consumption_species","sold_species",267,267,26.083818403175,266,2.84e-75,1.7e-74,"****"
