Table X: Catch_X_Consumption (species)						
		(1)	(2)	(3)	(4)	(5)
		base	effort	hh	mkt	mktx
VARIABLES	LABELS	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households	Number of species consumed by households
						
catch_species	Number of species caught by households	0.899***	0.897***	0.897***	0.895***	0.895***
		(0.0208)	(0.0169)	(0.0158)	(0.0153)	(0.0398)
city_distance	Distance to nearest large town (km)--Battambang, Kampong Thom, Pursat, Siem Reap				0.00641	0.00629
					(0.00938)	(0.0222)
c.catch_species#c.city_distance						5.10e-06
						(0.00116)
effort_persondays	Person-days		0.00166	0.000494	0.000445	0.000444
			(0.00498)	(0.00475)	(0.00478)	(0.00468)
hhsize	Household size			0.0419	0.0439	0.0439
				(0.109)	(0.109)	(0.109)
depshare	Share of household members <=15 or >=65			2.488	2.509	2.509
				(2.435)	(2.430)	(2.436)
maxeduc	Max educational attainment by any hh member (years)			-0.0467	-0.0469	-0.0469
				(0.0331)	(0.0325)	(0.0323)
index1	Household amenities index			-0.213	-0.201	-0.201
				(0.140)	(0.143)	(0.144)
index2	Livelihood asset index			-0.183**	-0.170*	-0.170*
				(0.0805)	(0.0900)	(0.0854)
Constant	Constant	0.776*	0.728	0.348	0.133	0.137
		(0.388)	(0.490)	(1.045)	(1.159)	(1.153)
						
Observations		410	410	410	410	410
R-squared		0.952	0.952	0.954	0.954	0.954
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Outcome variable is species at the catch level. Robust standard errors clustered at CFR level in parentheses. *** p<0.01, ** p<0.05, * p<0.1						
