Table X: Catch_X_Sold (nd_score)						
		(1)	(2)	(3)	(4)	(5)
		base	effort	hh	mkt	mktx
VARIABLES	LABELS	Nutrient density score: sold level	Nutrient density score: sold level	Nutrient density score: sold level	Nutrient density score: sold level	Nutrient density score: sold level
						
nd_score_catch	Nutrient density score: catch level	0.672***	0.520**	0.525**	0.549**	0.763
		(0.226)	(0.223)	(0.204)	(0.205)	(0.518)
city_distance	Distance to nearest large town (km)--Battambang, Kampong Thom, Pursat, Siem Reap				-0.00570	0.0190
					(0.00548)	(0.0501)
c.nd_score_catch#c.city_distance						-0.00632
						(0.0129)
effort_persondays	Person-days		0.0177***	0.0192***	0.0195***	0.0195***
			(0.00265)	(0.00270)	(0.00275)	(0.00273)
hhsize	Household size			-0.0598	-0.0621	-0.0656
				(0.0606)	(0.0599)	(0.0610)
depshare	Share of household members <=15 or >=65			1.506	1.469	1.455
				(1.330)	(1.320)	(1.326)
maxeduc	Max educational attainment by any hh member (years)			0.0190	0.0191	0.0192
				(0.0242)	(0.0240)	(0.0239)
index1	Household amenities index			0.0731	0.0621	0.0613
				(0.109)	(0.109)	(0.109)
index2	Livelihood asset index			0.0982	0.0861	0.0842
				(0.0630)	(0.0617)	(0.0607)
Constant	Constant	-0.338	-0.841	-0.982	-0.861	-1.675
		(0.847)	(0.814)	(0.957)	(0.923)	(1.944)
						
Observations		410	410	410	410	410
R-squared		0.034	0.146	0.169	0.172	0.173
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Outcome variable is nd_score at the catch level. Robust standard errors clustered at CFR level in parentheses. *** p<0.01, ** p<0.05, * p<0.1						
